==========================================================
|  #  |    SYMBOL    |    TYPE    |     VALUE     | LINE |
| 166 |           LT |       Less |            LT |   45 |
| 167 |              |     Number |             0 |   45 |
| 168 |            ) |    RBraket |             ) |   45 |
| 169 |            | |         Or |             | |   45 |
| 170 |            ( |    LBraket |             ( |   45 |
| 171 |              | Identifier |         _bbbb |   45 |
| 172 |           LT |       Less |            LT |   45 |
| 173 |              |     Number |             0 |   45 |
| 174 |            ) |    RBraket |             ) |   45 |
| 175 |            | |         Or |             | |   45 |
| 176 |            ( |    LBraket |             ( |   45 |
| 177 |              | Identifier |         _cccc |   45 |
| 178 |           LT |       Less |            LT |   45 |
| 179 |              |     Number |             0 |   45 |
| 180 |            ) |    RBraket |             ) |   45 |
| 181 |            ) |    RBraket |             ) |   45 |
| 182 |    STARTBLOK |      Start |     STARTBLOK |   46 |
| 183 |        WRITE |      Write |         WRITE |   47 |
| 184 |            ( |    LBraket |             ( |   47 |
| 185 |            - |      Minus |             - |   47 |
| 186 |              |     Number |             1 |   47 |
| 187 |            ) |    RBraket |             ) |   47 |
| 188 |            ; |  Semicolon |             ; |   47 |
| 189 |      ENDBLOK |        End |       ENDBLOK |   48 |
| 190 |         ELSE |       Else |          ELSE |   49 |
| 191 |    STARTBLOK |      Start |     STARTBLOK |   50 |
| 192 |        WRITE |      Write |         WRITE |   51 |
| 193 |            ( |    LBraket |             ( |   51 |
| 194 |              |     Number |             0 |   51 |
| 195 |            ) |    RBraket |             ) |   51 |
| 196 |            ; |  Semicolon |             ; |   51 |
| 197 |      ENDBLOK |        End |       ENDBLOK |   52 |
| 198 |        WRITE |      Write |         WRITE |   53 |
| 199 |            ( |    LBraket |             ( |   53 |
| 200 |            " |     Quotes |             " |   53 |
| 201 |              |     String |            \n |   53 |
| 202 |            " |     Quotes |             " |   53 |
| 203 |            ) |    RBraket |             ) |   53 |
| 204 |            ; |  Semicolon |             ; |   53 |
| 205 |           IF |         If |            IF |   54 |
| 206 |            ( |    LBraket |             ( |   54 |
| 207 |            ! |        Not |             ! |   54 |
| 208 |            ( |    LBraket |             ( |   54 |
| 209 |              | Identifier |         _aaaa |   54 |
| 210 |           LT |       Less |            LT |   54 |
| 211 |            ( |    LBraket |             ( |   54 |
| 212 |              | Identifier |         _bbbb |   54 |
| 213 |          ADD |   Addition |           ADD |   54 |
| 214 |              | Identifier |         _cccc |   54 |
| 215 |            ) |    RBraket |             ) |   54 |
| 216 |            ) |    RBraket |             ) |   54 |
| 217 |            ) |    RBraket |             ) |   54 |
| 218 |    STARTBLOK |      Start |     STARTBLOK |   55 |
| 219 |        WRITE |      Write |         WRITE |   56 |
| 220 |            ( |    LBraket |             ( |   56 |
| 221 |              |     Number |            10 |   56 |
| 222 |            ) |    RBraket |             ) |   56 |
| 223 |            ; |  Semicolon |             ; |   56 |
| 224 |      ENDBLOK |        End |       ENDBLOK |   57 |
| 225 |         ELSE |       Else |          ELSE |   58 |
| 226 |    STARTBLOK |      Start |     STARTBLOK |   59 |
| 227 |        WRITE |      Write |         WRITE |   60 |
| 228 |            ( |    LBraket |             ( |   60 |
| 229 |              |     Number |             0 |   60 |
| 230 |            ) |    RBraket |             ) |   60 |
| 231 |            ; |  Semicolon |             ; |   60 |
| 232 |      ENDBLOK |        End |       ENDBLOK |   61 |
| 233 |      ENDBLOK |        End |       ENDBLOK |   62 |
| 234 |              |  EndOfFile |               |   -1 |
==========================================================
