====================================================================================
|  #  |    SYMBOL    |      TYPE      |                VALUE                | LINE |
|  64 |              |     Identifier |                               _aaaa |   14 |
|  65 |          MUL | Multiplication |                                 MUL |   14 |
|  66 |              |     Identifier |                               _bbbb |   14 |
|  67 |            ) |        RBraket |                                   ) |   14 |
|  68 |            ; |      Semicolon |                                   ; |   14 |
|  69 |        WRITE |          Write |                               WRITE |   15 |
|  70 |            ( |        LBraket |                                   ( |   15 |
|  71 |              |         String |                           \nA / B:  |   15 |
|  72 |            ) |        RBraket |                                   ) |   15 |
|  73 |            ; |      Semicolon |                                   ; |   15 |
|  74 |        WRITE |          Write |                               WRITE |   16 |
|  75 |            ( |        LBraket |                                   ( |   16 |
|  76 |              |     Identifier |                               _aaaa |   16 |
|  77 |          DIV |       Division |                                 DIV |   16 |
|  78 |              |     Identifier |                               _bbbb |   16 |
|  79 |            ) |        RBraket |                                   ) |   16 |
|  80 |            ; |      Semicolon |                                   ; |   16 |
|  81 |        WRITE |          Write |                               WRITE |   17 |
|  82 |            ( |        LBraket |                                   ( |   17 |
|  83 |              |         String |                           \nA % B:  |   17 |
|  84 |            ) |        RBraket |                                   ) |   17 |
|  85 |            ; |      Semicolon |                                   ; |   17 |
|  86 |        WRITE |          Write |                               WRITE |   18 |
|  87 |            ( |        LBraket |                                   ( |   18 |
|  88 |              |     Identifier |                               _aaaa |   18 |
|  89 |          MOD |            Mod |                                 MOD |   18 |
|  90 |              |     Identifier |                               _bbbb |   18 |
|  91 |            ) |        RBraket |                                   ) |   18 |
|  92 |            ; |      Semicolon |                                   ; |   18 |
|  93 |              |     Identifier |                               _xxxx |   19 |
|  94 |           <- |     Assignment |                                  <- |   19 |
|  95 |            ( |        LBraket |                                   ( |   19 |
|  96 |              |     Identifier |                               _aaaa |   19 |
|  97 |          SUB |    Subtraction |                                 SUB |   19 |
|  98 |              |     Identifier |                               _bbbb |   19 |
|  99 |            ) |        RBraket |                                   ) |   19 |
| 100 |          MUL | Multiplication |                                 MUL |   19 |
| 101 |              |         Number |                                  10 |   19 |
| 102 |          ADD |       Addition |                                 ADD |   19 |
| 103 |            ( |        LBraket |                                   ( |   19 |
| 104 |              |     Identifier |                               _aaaa |   19 |
| 105 |          ADD |       Addition |                                 ADD |   19 |
| 106 |              |     Identifier |                               _bbbb |   19 |
| 107 |            ) |        RBraket |                                   ) |   19 |
| 108 |          DIV |       Division |                                 DIV |   19 |
| 109 |              |         Number |                                  10 |   19 |
| 110 |            ; |      Semicolon |                                   ; |   19 |
| 111 |              |     Identifier |                               _yyyy |   20 |
| 112 |           <- |     Assignment |                                  <- |   20 |
| 113 |              |     Identifier |                               _xxxx |   20 |
| 114 |          ADD |       Addition |                                 ADD |   20 |
| 115 |            ( |        LBraket |                                   ( |   20 |
| 116 |              |     Identifier |                               _xxxx |   20 |
| 117 |          MOD |            Mod |                                 MOD |   20 |
| 118 |              |         Number |                                  10 |   20 |
| 119 |            ) |        RBraket |                                   ) |   20 |
| 120 |            ; |      Semicolon |                                   ; |   20 |
| 121 |        WRITE |          Write |                               WRITE |   21 |
| 122 |            ( |        LBraket |                                   ( |   21 |
| 123 |              |         String | \nX = (A - B) * 10 + (A + B) / 10\n |   21 |
| 124 |            ) |        RBraket |                                   ) |   21 |
| 125 |            ; |      Semicolon |                                   ; |   21 |
| 126 |        WRITE |          Write |                               WRITE |   22 |
| 127 |            ( |        LBraket |                                   ( |   22 |
| 128 |              |     Identifier |                               _xxxx |   22 |
| 129 |            ) |        RBraket |                                   ) |   22 |
| 130 |            ; |      Semicolon |                                   ; |   22 |
| 131 |        WRITE |          Write |                               WRITE |   23 |
| 132 |            ( |        LBraket |                                   ( |   23 |
| 133 |              |         String |              \nY = X + (X MOD 10)\n |   23 |
| 134 |            ) |        RBraket |                                   ) |   23 |
| 135 |            ; |      Semicolon |                                   ; |   23 |
| 136 |        WRITE |          Write |                               WRITE |   24 |
| 137 |            ( |        LBraket |                                   ( |   24 |
| 138 |              |     Identifier |                               _yyyy |   24 |
| 139 |            ) |        RBraket |                                   ) |   24 |
| 140 |            ; |      Semicolon |                                   ; |   24 |
| 141 |      ENDBLOK |            End |                             ENDBLOK |   25 |
| 142 |              |      EndOfFile |                                     |   -1 |
====================================================================================
